城市名称        x       y
北京    -2800   7690
台湾    2040    -7200
拉萨    -28180  -2840
新疆乌鲁木齐    -31900  11220
回疆    -34840  13130
碎叶    -44090  10270
马邑    -7100   3180
居庸关  -3040   7970
盛京    3990    9250
赫图阿拉        4280    9280
宁远    3740    8840
灵州    -12660  5970
昆明    -16840  -7210
滇池    -17160  -8000
大理    -19130  -6890
杭州    840     -2070
嘉兴    1190    -1770
福州    -80     -6180
泉州    -900    -7670
兰州    -15750  3810
嘉峪关  -21120  7250
佛山    -6750   -9750
开封    -5050   2240
洛阳    -6990   2180
南阳    -6940   770
汝州    -6760   1860
武昌    -5090   -1880
衡阳    -6890   -5700
岳阳    -6200   -3010
苏州    1110    -1040
扬州    0       0
宜兴    230     -1020
内蒙古  -7850   8250
汉中    -12250  810
成都    -15220  -1830
高丽    7320    5100
定襄    -6310   6270
光明顶  -31960  4170
星宿海  -22710  1270
塘沽口  -2060   6900
神龙岛  2340    6170
桃花岛  -7130   -2770
百花谷  -8850   2250
侠客岛  1090    -17100
桃源    -8190   -3930
黑沼    -9260   2270
平定州  -5880   5120
黑木崖  -5780   5190
伊犁    -32100  8890
永登    -16110  4200
高昌    -29870  10250
大漠    -37950  5770
长安    -10720  1930
中州    -9040   -1000
汉中    -12240  840
襄阳    -7820   -770
江陵    -7100   -2050
无锡    1040    -730
澎湖    160     -8780
日本    3740    -12230
延平    -1150   -4890
黄河    -119260 -32230
漠北    -119260 -32230
白驼山  -119260 -32230
冰火岛  -119260 -32230
凌霄城  -119260 -32230

